['Y0', 20.408163265306126]
['z0', 12.574061882817645]
['z1', 8.689927583936802]
['Y2', 6.978275181040159]
['Z1', 6.31994733377222]
['Z0', 6.188281764318631]
['y0', 4.213298222514813]
['Y23', 3.3574720210664912]
['Y41', 3.3574720210664912]
['V0', 3.2916392363396976]
['x0', 3.0283080974325216]
['z2', 2.633311389071758]
['Y11', 2.633311389071758]
['Y4', 2.3041474654377883]
['Z11', 2.1066491112574064]
['v0', 2.0408163265306123]
['Z2', 1.8433179723502306]
['W0', 1.119157340355497]
['Y1', 0.9874917709019092]
['Y3', 0.6583278472679395]
['Y113', 0.5266622778143516]
['w0', 0.46082949308755766]
['v1', 0.3949967083607637]
['z13', 0.3949967083607637]
['Y221', 0.3949967083607637]
['V1', 0.32916392363396973]
['Y21', 0.2633311389071758]
['z3', 0.2633311389071758]
['x3', 0.2633311389071758]
['y1', 0.19749835418038186]
['Y9', 0.1316655694535879]
['X0', 0.1316655694535879]
['Z3', 0.1316655694535879]
['w1', 0.1316655694535879]
['v2', 0.1316655694535879]
['Y22', 0.1316655694535879]
['Z51', 0.1316655694535879]
['Y52', 0.06583278472679395]
['V4', 0.06583278472679395]
['Z21', 0.06583278472679395]
['y2', 0.06583278472679395]
['x1', 0.06583278472679395]
['Z5', 0.06583278472679395]
['Y212', 0.06583278472679395]
['z21', 0.06583278472679395]
['Y24', 0.06583278472679395]
['Y223', 0.06583278472679395]
['v3', 0.06583278472679395]
['W5', 0.06583278472679395]
['W2', 0.06583278472679395]
