['z0', 16.328708644610458]
['Y2', 11.953041622198507]
['Z0', 10.24546424759872]
['Y0', 6.08324439701174]
['z2', 6.029882604055497]
['Y11', 6.029882604055497]
['V0', 4.215581643543223]
['Y41', 4.16221985058698]
['y0', 3.8954108858057634]
['z1', 3.4151547491995733]
['Z2', 3.3617929562433297]
['Y24', 3.3084311632870866]
['x0', 2.8281750266808965]
['Y23', 2.6680896478121667]
['Z11', 2.1878335112059766]
['Y3', 1.8143009605122733]
['z3', 1.12059765208111]
['V3', 1.0672358591248667]
['v0', 0.96051227321238]
['Y21', 0.96051227321238]
['Y22', 0.7470651013874067]
['x3', 0.7470651013874067]
['V1', 0.5869797225186767]
['W0', 0.48025613660619]
['X0', 0.48025613660619]
['Y1', 0.48025613660619]
['Y4', 0.42689434364994666]
['Z1', 0.42689434364994666]
['Y2211', 0.32017075773746]
['v11', 0.32017075773746]
['w11', 0.2668089647812167]
['v1', 0.2668089647812167]
['Y113', 0.21344717182497333]
['Z3', 0.21344717182497333]
['y1', 0.16008537886873]
['Y221', 0.16008537886873]
['w0', 0.16008537886873]
['x4', 0.10672358591248667]
['Z22', 0.10672358591248667]
['Z4', 0.10672358591248667]
['w2', 0.10672358591248667]
['z11', 0.10672358591248667]
['Z5', 0.05336179295624333]
['Y212', 0.05336179295624333]
['V11', 0.05336179295624333]
['w1', 0.05336179295624333]
['z12', 0.05336179295624333]
['W112', 0.05336179295624333]
['V4', 0.05336179295624333]
