['z0', 11.659965537047674]
['Z0', 7.122343480758185]
['z2', 7.064905226881103]
['Y23', 6.203331418724871]
['Y11', 6.145893164847789]
['Y0', 4.939689833429064]
['Y4', 4.135554279149914]
['Y2', 3.9058012636415853]
['y0', 3.9058012636415853]
['V0', 3.2739804709936817]
['Z2', 3.1591039632395175]
['z1', 3.1016657093624356]
['Y41', 2.9867892016082713]
['Y24', 1.8954623779437105]
['Z51', 1.8954623779437105]
['Y3', 1.665709362435382]
['x0', 1.665709362435382]
['Z11', 1.5508328546812178]
['w0', 1.4933946008041357]
['v0', 1.3785180930499714]
['Z1', 1.321079839172889]
['w1', 1.2062033314187248]
['z11', 1.0913268236645606]
['Y21', 1.0338885697874785]
['z3', 1.0338885697874785]
['z21', 0.9190120620333142]
['Y22', 0.8615738081562321]
['v1', 0.80413555427915]
['y1', 0.7466973004020678]
['Y2211', 0.6892590465249857]
['Y212', 0.6892590465249857]
['Y213', 0.6318207926479035]
['Z3', 0.6318207926479035]
['X0', 0.5743825387708213]
['Y2221', 0.5743825387708213]
['Z22', 0.5743825387708213]
['Y221', 0.5169442848937392]
['Y1', 0.5169442848937392]
['Z4', 0.5169442848937392]
['Y113', 0.4595060310166571]
['Y112', 0.4595060310166571]
['v2', 0.402067777139575]
['x3', 0.34462952326249285]
['Z52', 0.34462952326249285]
['W22', 0.2871912693854107]
['V1', 0.2871912693854107]
['Y31', 0.2871912693854107]
['V21', 0.2871912693854107]
['Z21', 0.2871912693854107]
['Y211', 0.17231476163124643]
['W0', 0.17231476163124643]
['z13', 0.17231476163124643]
['y2', 0.17231476163124643]
['z111', 0.17231476163124643]
['x13', 0.17231476163124643]
['Y2121', 0.11487650775416428]
['Y2111', 0.11487650775416428]
['x1', 0.11487650775416428]
['x4', 0.11487650775416428]
['z12', 0.11487650775416428]
['Z5', 0.11487650775416428]
['Y222', 0.11487650775416428]
['W112', 0.05743825387708214]
['X22', 0.05743825387708214]
['W221', 0.05743825387708214]
['Z511', 0.05743825387708214]
['x21', 0.05743825387708214]
['X21', 0.05743825387708214]
['V3', 0.05743825387708214]
['Y13', 0.05743825387708214]
['x31', 0.05743825387708214]
['y3', 0.05743825387708214]
['z112', 0.05743825387708214]
