['z0', 17.629310344827587]
['Z0', 10.0]
['Y0', 8.922413793103448]
['Y23', 6.336206896551724]
['z1', 5.431034482758621]
['Y2', 5.0]
['Y4', 3.7068965517241383]
['z2', 3.4051724137931036]
['v0', 3.189655172413793]
['Y11', 3.146551724137931]
['Z2', 3.146551724137931]
['x0', 3.017241379310345]
['Z1', 2.974137931034483]
['Y41', 2.844827586206897]
['y0', 1.6379310344827587]
['Z11', 1.5086206896551726]
['V0', 1.5086206896551726]
['Y22', 1.0775862068965518]
['w0', 1.0775862068965518]
['Y3', 0.9913793103448276]
['z3', 0.9482758620689655]
['Y21', 0.7327586206896552]
['Y2211', 0.6896551724137931]
['X0', 0.6896551724137931]
['Y1', 0.6896551724137931]
['x3', 0.603448275862069]
['W0', 0.5172413793103449]
['Z5', 0.5172413793103449]
['V1', 0.47413793103448276]
['z13', 0.47413793103448276]
['v1', 0.47413793103448276]
['y1', 0.4310344827586207]
['Y24', 0.4310344827586207]
['Y113', 0.3879310344827587]
['Y221', 0.3448275862068966]
['Z3', 0.3448275862068966]
['Z4', 0.3017241379310345]
['x4', 0.3017241379310345]
['z21', 0.3017241379310345]
['W1', 0.25862068965517243]
['w1', 0.21551724137931036]
['y2', 0.21551724137931036]
['Z21', 0.21551724137931036]
['V4', 0.21551724137931036]
['y3', 0.21551724137931036]
['Y211', 0.1724137931034483]
['Y112', 0.1724137931034483]
['w2', 0.12931034482758622]
['W2', 0.12931034482758622]
['z11', 0.12931034482758622]
['v2', 0.12931034482758622]
['X21', 0.12931034482758622]
['Y213', 0.08620689655172414]
['W11', 0.08620689655172414]
['Y212', 0.08620689655172414]
['Y222', 0.08620689655172414]
['W21', 0.08620689655172414]
['Z12', 0.08620689655172414]
['x2', 0.08620689655172414]
['x1', 0.08620689655172414]
['Y223', 0.08620689655172414]
['z12', 0.08620689655172414]
['x12', 0.08620689655172414]
['\x002', 0.04310344827586207]
['Y31', 0.04310344827586207]
['Z511', 0.04310344827586207]
['w11', 0.04310344827586207]
['W22', 0.04310344827586207]
['Z51', 0.04310344827586207]
['x21', 0.04310344827586207]
['Y1121', 0.04310344827586207]
['V12', 0.04310344827586207]
['v112', 0.04310344827586207]
['Y2111', 0.04310344827586207]
['Z22', 0.04310344827586207]
